,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1010807,1010807,Eternals,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/539f0bda709d0.jpg,91,31,130,1
1009519,1009519,Puppet Master,,http://i.annihil.us/u/prod/marvel/i/mg/6/40/4c003c738f74c.jpg,41,21,50,1
1009734,1009734,Xorn (Kuan-Yin Xorn),"Xorn, whose mutation manifested as a tiny, powerful star inside his head, was brainwashed into believing he was the reincarnation of Magneto.",http://i.annihil.us/u/prod/marvel/i/mg/d/60/4c00394059727.jpg,22,11,27,1
1010775,1010775,James Buchanan Barnes,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,3,3,0
1010671,1010671,Enchantress (Amora),,http://i.annihil.us/u/prod/marvel/i/mg/3/10/52740e0f3c733.jpg,26,11,38,2
1009251,1009251,Crimson Dynamo,,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/526955e3c7c41.jpg,40,25,42,1
1009273,1009273,Diablo,,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/4ce59f83af33f.jpg,28,17,35,0
1010911,1010911,Black Widow (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261.jpg,18,10,18,0
1010915,1010915,Captain Britain (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/4c003574e99fb.jpg,3,1,4,0
1009666,1009666,Thunderbird (John Proudstar),"An exceptionally strong and vigorous athlete in his youth, John Proudstar&rsquo;s mutant abilities first manifested when he wrestled a charging bison to save a young girl.",http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c003aa43b1ec.jpg,33,21,30,2
1010982,1010982,Swordsman (Jacques Duquesne),"When Clint Barton came to the Carson Carnival of Traveling Wonders, the Swordsman became one of his mentors.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,2,4,1
1011391,1011391,Hairball,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,2,12,0
1011080,1011080,Korg,,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269581a55d0c.jpg,18,3,17,2
1011053,1011053,Maelstrom,,http://i.annihil.us/u/prod/marvel/i/mg/f/20/4c003114d6700.jpg,4,3,4,0
1010334,1010334,Quasimodo,,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c00392ddd605.jpg,10,9,9,0
1011116,1011116,Killraven,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,38,8,104,0
1011321,1011321,Paper Doll,,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4ce5a65b2e406.jpg,3,1,4,0
1009234,1009234,Chameleon,,http://i.annihil.us/u/prod/marvel/i/mg/7/00/4ce59f390463f.jpg,43,21,46,2
1011246,1011246,Hypno-Hustler,,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4c002ef943bbf.jpg,3,2,4,0
1011257,1011257,Lily Hollister,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,9,1,12,1
1011241,1011241,Menace,,http://i.annihil.us/u/prod/marvel/i/mg/5/20/4c002f01b93c0.jpg,41,4,52,1
1011240,1011240,Freak,,http://i.annihil.us/u/prod/marvel/i/mg/1/50/4ce5a5b3cc0aa.jpg,6,2,9,0
1010353,1010353,Vermin (Edward Whelan),"Edward Whelan was found roaming the streets of New York by Baron Helmut Zemo, who subjected Whelan to Zemo's genetic experiments, which granted him superhuman strength, but, in the process of the mutation, he manifested a rat-like physical appearance, and was called Vermin.",http://i.annihil.us/u/prod/marvel/i/mg/3/b0/528d3638185cb.jpg,15,6,19,2
1010780,1010780,Zemo,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,15,9,12,1
1011082,1011082,Elixir,,http://i.annihil.us/u/prod/marvel/i/mg/5/d0/52740e1b4ad81.jpg,26,7,34,1
1009469,1009469,Namorita,,http://i.annihil.us/u/prod/marvel/i/mg/4/03/528d33a253447.jpg,66,22,74,7
1010687,1010687,Black Tarantula,,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270.jpg,23,10,27,1
1011333,1011333,Dakota North,,http://i.annihil.us/u/prod/marvel/i/mg/7/d0/4ce5a6888f769.jpg,20,6,21,1
1009721,1009721,John Wraith,"A mutant with teleportation powers, Wraith served with Wolverine, Sabretooth, Maverick and Silver Fox in Team X, a covert operations unit formed by Weapon X.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,5,2,9,0
1009213,1009213,Bushwacker,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,12,8,13,1
1010892,1010892,Rawhide Kid,,http://i.annihil.us/u/prod/marvel/i/mg/1/90/4ce5a3e0dbd3a.jpg,125,7,375,0
1010794,1010794,Spider-Woman (Mattie Franklin),"Mattie Franklin was granted her powers when, after overhearing a phone call between her father and Norman Osborn about the Gathering of the Five, she took her father's place during the Gathering and was endowed with the awesome powers that Norman Osborn had wanted for himself.",http://i.annihil.us/u/prod/marvel/i/mg/2/30/531771c2ab020.jpg,16,5,16,1
